2019-11-18 00:38:58.284  INFO 6772 --- [main] c.j.s.SpringBootLoggingDemoApplication   : Starting SpringBootLoggingDemoApplication on DESKTOP-RIH70AT with PID 6772 (C:\Users\satis\Documents\workspace-sts4\SpringBoot-LoggingDemo\target\classes started by satis in C:\Users\satis\Documents\workspace-sts4\SpringBoot-LoggingDemo)
2019-11-18 00:38:58.285 DEBUG 6772 --- [main] c.j.s.SpringBootLoggingDemoApplication   : Running with Spring Boot v2.2.1.RELEASE, Spring v5.2.1.RELEASE
2019-11-18 00:38:58.286 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.profiles.active' in PropertySource 'configurationProperties'
2019-11-18 00:38:58.286 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.profiles.active' in PropertySource 'commandLineArgs'
2019-11-18 00:38:58.287 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.profiles.active' in PropertySource 'servletConfigInitParams'
2019-11-18 00:38:58.287 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.profiles.active' in PropertySource 'servletContextInitParams'
2019-11-18 00:38:58.287 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.profiles.active' in PropertySource 'systemProperties'
2019-11-18 00:38:58.287 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.profiles.active' in PropertySource 'systemEnvironment'
2019-11-18 00:38:58.288 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.profiles.active' in PropertySource 'random'
2019-11-18 00:38:58.288 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.profiles.active' in PropertySource 'applicationConfig: [classpath:/application.properties]'
2019-11-18 00:38:58.288 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Could not find key 'spring.profiles.active' in any property source
2019-11-18 00:38:58.289 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.profiles.default' in PropertySource 'configurationProperties'
2019-11-18 00:38:58.289 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.profiles.default' in PropertySource 'commandLineArgs'
2019-11-18 00:38:58.289 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.profiles.default' in PropertySource 'servletConfigInitParams'
2019-11-18 00:38:58.290 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.profiles.default' in PropertySource 'servletContextInitParams'
2019-11-18 00:38:58.290 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.profiles.default' in PropertySource 'systemProperties'
2019-11-18 00:38:58.290 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.profiles.default' in PropertySource 'systemEnvironment'
2019-11-18 00:38:58.290 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.profiles.default' in PropertySource 'random'
2019-11-18 00:38:58.290 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.profiles.default' in PropertySource 'applicationConfig: [classpath:/application.properties]'
2019-11-18 00:38:58.291 TRACE 6772 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Could not find key 'spring.profiles.default' in any property source
2019-11-18 00:38:58.291  INFO 6772 --- [main] c.j.s.SpringBootLoggingDemoApplication   : No active profile set, falling back to default profiles: default
2019-11-18 00:38:58.291 DEBUG 6772 --- [main] o.s.boot.SpringApplication               : Loading source class com.java.satish.SpringBootLoggingDemoApplication
2019-11-18 00:38:58.303 TRACE 6772 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
